Date : 2020-11-23 01:44:13
Directory : c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-
Total : 300 files,  7342 codes, 56 comments, 887 blanks, all 8285 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\print1.c               | C        |         11 |          1 |          2 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\print2.c               | C        |         13 |          1 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\showf_pt.c             | C        |         12 |          1 |          3 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\toobig.c               | C        |          9 |          1 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\typesize.c             | C        |         11 |          1 |          3 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.1.c         | C        |         12 |          0 |          4 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.2.c         | C        |         14 |          0 |          3 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.3.c         | C        |         10 |          0 |          0 |         10 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.4.c         | C        |         12 |          0 |          1 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.5.c         | C        |         12 |          0 |          0 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.6.c         | C        |         19 |          0 |          6 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.7.c         | C        |         16 |          0 |          2 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\Practice\4.8.c         | C        |         14 |          0 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter4\defines.c              | C        |         15 |          0 |          2 |         17 |
